rank_main,rank_child,lemma,pos,rnc_ipm,detcorpus_ipm,freq_sum,all_rki_abs,r,dp,det_rki_ipm,native_ipm,bilingual_ipm,inA1,inA2,dp_factor,zipf_rki,formula_mean_zipf,formula1,rufola_123_ipm,native_abs,bilingual_abs,cefr,comment_main,comment_child,kelly
51,73,до,PREPOSITION,2061.1,1682,1539,281,85,0.62,1331.75,687.22,814.41,1,1,38,6.12,6,22,1450,624,452,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
52,78,время,NOUN,2015.7,1415,3148,284,100,0.67,1345.97,1867.84,1486.49,1,1,33,6.13,6,22,2732,1696,825,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
53,155,если,CONJUNCTION,1998.1,1950,3213,160,100,0.66,758.29,1840.31,2100.9,0,1,34,5.88,6,21,1721,1671,1166,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A2
54,156,сам,APRO,1986.3,1683,1132,94,77,0.64,445.5,547.36,796.4,1,1,36,5.65,6,21,789,497,442,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A2
55,75,когда,CONJUNCTION,1895.7,1665,3077,338,85,0.62,1601.9,1218.06,2077.48,1,1,38,6.2,6,22,3824,1106,1153,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
56,163,другой,APRO,1837.3,1467,2865,142,85,0.66,672.99,1767.62,1598.2,1,1,34,5.83,6,21,1840,1605,887,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
57,26,вот,PART,1785.1,2623,2697,543,100,0.57,2573.46,1218.06,1504.5,1,1,43,6.41,6,23,1697,1106,835,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
58,28,говорить,VERB,1755,2152,3260,361,100,0.61,1710.9,1135.46,2416.22,1,1,39,6.23,6,23,4198,1031,1341,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
59,34,наш,APRO,1731.8,1339,2729,562,92,0.59,2663.51,1151.98,1645.05,1,1,41,6.43,6,23,1657,1046,913,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
60,17,мой,APRO,1720.3,1499,3669,981,100,0.55,4649.29,748.9,2733.33,1,1,45,6.67,6,24,3911,680,1517,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
61,65,знать,VERB,1713.8,2473,3158,353,100,0.62,1672.99,1383.26,2010.81,1,1,38,6.22,6,22,3449,1256,1116,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
62,536,при,PREPOSITION,1550.8,543,1227,39,62,0.71,184.83,914.1,610.81,0,1,29,5.27,5,19,151,830,339,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A2
63,158,чтобы,CONJUNCTION,1479.7,1572,2657,201,92,0.64,952.61,1546.26,1488.29,0,1,36,5.98,6,21,1800,1404,826,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A2
64,290,дело,NOUN,1412.1,1431,807,73,85,0.63,345.97,400.88,535.14,1,1,37,5.54,6,20,582,364,297,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A2
65,531,жизнь,NOUN,1389.8,718,708,44,69,0.76,208.53,343.61,257.66,1,1,24,5.32,6,19,1665,312,143,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
66,29,кто,SPRO,1374.8,1643,6675,1074,100,0.58,5090.05,2915.2,5059.46,1,1,42,6.71,6,23,1163,2647,2808,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
67,91,первый,ADJECTIVE,1345.6,979,2852,337,77,0.65,1597.16,1725.77,1344.14,1,1,35,6.2,6,22,1609,1567,746,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
68,31,очень,ADVERB,1286.8,1516,3160,573,92,0.6,2715.64,841.41,1744.14,1,1,40,6.43,6,23,6811,764,968,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
69,38,день,NOUN,1258.4,1238,3128,723,92,0.58,3426.54,997.8,1906.31,1,1,42,6.53,6,23,3513,906,1058,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
70,89,ее,APRO,1219.2,1023,928,136,100,0.59,644.55,339.21,549.55,1,1,41,5.81,6,22,1426,308,305,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
71,103,новый,ADJECTIVE,1217.5,665,2315,300,100,0.61,1421.8,1001.1,1464.86,1,1,39,6.15,6,22,2334,909,813,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
72,149,рука,NOUN,1200.6,2259,1085,102,92,0.63,483.41,483.48,830.63,1,1,37,5.68,6,21,661,439,461,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
73,293,даже,PART,1179.8,1247,662,56,69,0.64,265.4,263.22,436.04,1,1,36,5.42,6,20,996,239,242,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),B1
74,176,во,PREPOSITION,1167.8,718,2115,229,92,0.64,1085.31,1253.3,1099.1,1,1,36,6.04,6,21,1099,1138,610,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),NO
75,165,со,PREPOSITION,1151.3,1192,1565,149,92,0.63,706.16,803.96,1025.23,1,1,37,5.85,6,21,932,730,569,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
76,161,раз,NOUN,1131.8,1481,1317,132,85,0.62,625.59,583.7,893.69,1,1,38,5.8,6,21,1267,530,496,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
77,37,где,ADVERB,1129.2,1257,3518,592,100,0.57,2805.69,1470.26,2475.68,1,1,43,6.45,6,23,1729,1335,1374,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
78,30,там,ADVERB,1128.1,1615,1659,416,100,0.58,1971.56,464.76,1088.29,1,1,42,6.29,6,23,1729,422,604,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
79,292,под,PREPOSITION,1126,1257,1770,92,77,0.68,436.02,1233.48,933.33,0,1,32,5.64,6,20,319,1120,518,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A2
80,92,можно,ADVERB,1125.9,919,3510,260,77,0.64,1232.23,2072.69,2149.55,1,1,36,6.09,6,22,1394,1882,1193,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
81,153,ну,PART,1114.6,2122,638,102,85,0.6,483.41,229.07,418.02,1,0,40,5.68,6,21,765,208,232,B1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),B2
82,79,какой,APRO,1091.7,1384,15290,1091,100,0.69,5170.62,11073.79,7207.21,1,1,31,6.71,6,22,1147,10055,4000,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
83,193,после,PREPOSITION,1080.1,509.4,1589,134,77,0.65,635.07,949.34,821.62,1,1,35,5.8,6,21,1091,862,456,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A2
84,309,их,APRO,1076,558,1535,150,85,0.7,710.9,1051.76,664.86,0,0,30,5.85,6,20,486,955,369,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
85,195,работа,NOUN,1058.3,490,1233,138,92,0.68,654.03,615.64,520.72,1,1,32,5.82,6,21,1968,559,289,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
86,166,без,PREPOSITION,1018.8,953,1644,114,69,0.64,540.28,991.19,974.77,0,1,36,5.73,6,21,709,900,541,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
87,160,самый,APRO,1007.4,1500,1605,158,85,0.63,748.82,651.98,1070.27,0,1,37,5.87,6,21,2079,592,594,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A2
88,76,потом,ADVERB,1006.1,1585,1710,197,92,0.6,933.65,762.11,992.79,1,1,40,5.97,6,22,2151,692,551,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
