rank,lemma,pos,freq_sum,all_rki_abs,r,dp,all_rki_ipm,native_ipm,bilingual_ipm,rnc_ipm,detcorpus_ipm
5702,организм,NOUN,11,1,23,0.98,4.74,4.41,0,80.6,20
2880,случайно,ADVERB,66,4,38,0.63,18.96,31.94,43.24,80.5,97
233,ученик,NOUN,707,142,92,0.6,672.99,286.34,490.09,80.4,92
4356,учреждение,NOUN,11,2,31,0.8,9.48,2.2,3.6,80.4,11
1322,высоко,ADVERB,201,16,62,0.64,75.83,112.33,138.74,80.3,142
3179,открытие,NOUN,50,4,38,0.87,18.96,29.74,9.01,80.2,49
2022,черта,NOUN,295,8,46,0.67,37.91,183.92,210.81,80,47
5673,том,NOUN,18,1,31,0.88,4.74,14.32,3.6,80,18
300,повторять,VERB,548,110,77,0.63,521.33,193.83,412.61,79.9,242
8378,характеристика,NOUN,112,0,23,0.97,0,118.94,5.41,79.9,7
4135,по-прежнему,ADVERB,18,2,31,0.71,9.48,8.81,9.01,79.8,81
3170,выполнение,NOUN,65,4,31,0.81,18.96,55.07,18.02,79.6,9
8612,оборона,NOUN,8,0,8,1,0,8.81,0,79.6,16
1087,температура,NOUN,109,22,62,0.6,104.27,12.11,106.31,79.5,35
1952,выступление,NOUN,55,9,38,0.77,42.65,29.74,18.02,79.5,20
312,подруга,NOUN,381,104,85,0.55,492.89,63.88,300.9,79.4,129
1469,замечать,VERB,423,14,62,0.76,66.35,330.4,162.16,79.4,632
3343,приказ,NOUN,64,3,31,0.69,14.22,39.65,43.24,79.4,70
719,ресторан,NOUN,141,41,69,0.71,194.31,0,32.43,79.3,31
2176,вверх,ADVERB,128,7,54,0.67,33.18,63.88,111.71,79.3,164
2246,километр,NOUN,73,7,46,0.79,33.18,40.75,19.82,79.2,108
4978,спор,NOUN,46,1,31,0.75,4.74,36.34,19.82,79.2,46
4833,попытаться,VERB,29,1,31,0.67,4.74,15.42,23.42,79.1,108
2409,использоваться,VERB,135,6,31,0.7,28.44,94.71,70.27,79,3
1423,признак,NOUN,921,15,31,0.79,71.09,794.05,327.93,78.9,23
3483,вкус,NOUN,71,3,38,0.75,14.22,55.07,28.83,78.9,36
4801,странно,ADVERB,37,1,31,0.72,4.74,17.62,18.02,78.9,112
6633,насколько,ADVERB,18,0,23,0.69,0,12.11,10.81,78.9,34
1961,американец,NOUN,28,9,38,0.74,42.65,1.1,0,78.8,26
4740,лоб,NOUN,88,1,31,0.69,4.74,64.98,46.85,78.7,171
2444,заключение,NOUN,40,6,31,0.64,28.44,4.41,54.05,78.6,14
1752,исключение,NOUN,153,11,38,0.84,52.13,133.26,37.84,78.3,19
228,желтый,ADJECTIVE,562,147,92,0.66,696.68,306.17,219.82,78.1,168
6246,молча,ADVERB,82,0,23,0.69,0,24.23,90.09,78.1,187
614,ключ,NOUN,257,50,69,0.58,236.97,118.94,154.95,78,157
478,садиться,VERB,607,63,77,0.62,298.58,272.03,443.24,77.9,499
6647,немедленно,ADVERB,17,0,23,0.71,0,9.91,9.01,77.6,108
7296,слой,NOUN,71,0,23,0.77,0,59.47,28.83,77.6,33
362,встречать,VERB,550,89,38,0.64,421.8,232.38,329.73,77.4,219
2193,бок,NOUN,85,7,38,0.71,33.18,59.47,41.44,77.4,149
1736,говориться,VERB,430,11,31,0.78,52.13,356.83,163.96,77.3,43
2618,крикнуть,VERB,82,5,31,0.68,23.7,28.63,72.07,77.2,312
3737,спустя,PREPOSITION,18,3,31,0.99,14.22,15.42,0,77.2,43
675,июль,NOUN,108,45,85,0.54,213.27,30.84,55.86,77,17
2165,секретарь,NOUN,27,7,31,0.53,33.18,0,14.41,77,36
3930,перевод,NOUN,89,2,31,0.68,9.48,56.17,55.86,77,13
7389,мощный,ADJECTIVE,27,0,15,0.85,0,25.33,7.21,77,40
4754,кусок,NOUN,64,1,31,0.69,4.74,33.04,50.45,76.8,119
96,учить,VERB,684,308,85,0.66,1459.72,188.33,299.1,76.7,102
267,готовить,VERB,361,123,69,0.57,582.94,64.98,207.21,76.7,72
6377,слух,NOUN,41,0,23,0.69,0,22.03,36.04,76.7,53
973,гореть,VERB,202,27,38,0.74,127.96,132.16,86.49,76.6,133
2970,испытывать,VERB,32,4,31,0.67,18.96,15.42,18.02,76.6,69
3981,польза,NOUN,50,2,31,0.73,9.48,35.24,23.42,76.6,45
1056,звонок,NOUN,124,23,54,0.6,109,42.95,90.09,76.5,124
3373,оттуда,ADVERB,44,3,38,0.65,14.22,24.23,30.63,76.2,122
1319,подниматься,VERB,216,16,54,0.66,75.83,110.13,140.54,75.9,440
1618,мимо,PREPOSITION,95,12,46,0.75,56.87,64.98,30.63,75.9,208
3391,мимо,ADVERB,36,3,38,0.67,14.22,23.13,18.02,75.9,208
4797,поддерживать,VERB,39,1,31,0.68,4.74,24.23,23.42,75.9,89
1198,следить,VERB,132,19,46,0.64,90.05,72.69,81.08,75.8,140
3358,деталь,NOUN,50,3,31,0.64,14.22,19.82,52.25,75.7,36
1101,деревянный,ADJECTIVE,161,22,54,0.63,104.27,75.99,111.71,75.6,119
1833,тишина,NOUN,164,10,31,0.77,47.39,125.55,64.86,75.6,136
4289,требоваться,VERB,26,2,31,0.77,9.48,18.72,9.01,75.5,40
170,подарок,NOUN,647,194,85,0.6,919.43,124.45,468.47,75.4,90
380,билет,NOUN,314,84,69,0.57,398.1,40.75,176.58,75.4,77
1169,ящик,NOUN,127,20,46,0.67,94.79,49.56,104.5,75.4,166
